feature,mean_abs_shap,mean_shap,positive_ratio
liq_turnover_os,0.012511950792192297,-0.0017986362770686377,0.7280666666666666
liq_amount,0.006660801622744204,-6.531571528693123e-05,0.49323333333333336
style_idio_vol_20,0.0065980804088480215,-0.0024571093065119012,0.54
mom_ma_gap_5,0.00485120105392112,0.0007668409936933944,0.4155
style_ln_mv_total,0.004612020640019977,0.0011305731977182395,0.427
vol_realized_rv,0.00449344272643685,-0.0014211227671994588,0.6651
mom_ret_1d,0.0037231225067084553,0.0010185198225134257,0.4932666666666667
vol_downside_20,0.0032156432669550477,0.0013587210055258049,0.3369333333333333
vol_rs_20,0.0030853847531217746,-0.0011487076225805966,0.5178
ind_ret_1d,0.002865247214011938,-0.0007868440209289619,0.36646666666666666
style_beta_20,0.0028197324071678586,0.0009723239904727786,0.6602333333333333
mom_kdj_k,0.0021697961067458837,-0.00011891870124550318,0.33516666666666667
liq_amount_ratio_5,0.002015873961138498,6.998152106280314e-05,0.7669333333333334
liq_amount_ma_20,0.0018326664446609246,-0.00027185613069628166,0.6053
mom_ma_gap_20,0.0018263415840525815,9.946162395651193e-05,0.28736666666666666
style_residual_ret_20,0.001725702535294066,0.0003295975362964027,0.724
mom_ret_20d,0.0016016360694185777,-1.1603366536447107e-06,0.5012
mom_breakout_20d,0.0015247113408754075,-0.00017128424640961,0.30343333333333333
liq_volume_ratio_5,0.0015024958504989147,4.589344348995078e-05,0.7923333333333333
mom_rsi_14,0.0012884694219541058,3.186914566130059e-05,0.3175
liq_accdist_20,0.0011871496944440292,8.32012317315853e-05,0.7757
flow_net_amount_ratio,0.0009903147970961098,0.00014436483643953736,0.3662666666666667
mom_ret_5d,0.0009650341895839333,0.00016936891706220242,0.4373
ind_strength_20,0.0009074895744370291,0.00025789963061718783,0.45316666666666666
vol_gk_20,0.0008927942417563724,-0.0002638738052792443,0.5173666666666666
vol_std_20,0.0008313633534457267,0.0005010417403030602,0.5432666666666667
liq_volume,0.0008065976985171605,-1.1167766398583151e-05,0.6387
style_ln_mv_float,0.0007610884758009819,-2.5168834123889846e-06,0.33826666666666666
liq_amihud_60,0.0007514671155285259,-0.0004406076437238982,0.2618333333333333
ind_ret_20d,0.0006078739808699347,-9.788063043197975e-06,0.3236
style_beta_60,0.0006047205688764444,-0.00018136977816166286,0.5524
vol_jump_zadj,0.0004928696446002428,-2.4754521356369715e-05,0.7472
volume,0.0004912405577218136,-1.943951198597418e-05,0.6038
flow_net_amount,0.00048525631472418757,4.239117973281816e-05,0.5984666666666667
mom_macd_hist,0.0004715398533521214,-3.217410164788557e-05,0.3253
liq_amihud_20,0.0004238777082092301,-8.661421939823357e-05,0.5516
liq_mfi_14,0.00040041492802810996,2.1797818375410548e-05,0.4134333333333333
vol_atr_14,0.0003498252951618445,-6.992394036889765e-05,0.3719
liq_volume_ma_20,0.000324091567199724,-2.8401782196145408e-05,0.6898666666666666
mom_ret_10d,0.0001752433729106692,5.445040475125881e-05,0.6477666666666667
flow_vpin_ma_20,0.00016659785294381886,1.958993359227511e-05,0.6912333333333334
flow_vpin,0.00015500245613058066,-4.421705059934915e-07,0.9297666666666666
vol_parkinson_20,0.00015147814006336935,-6.588817253407419e-05,0.39916666666666667
close,0.00013738759752600244,1.1018879614152116e-05,0.6696
flow_large_net_amount,0.00011732421180052215,-2.0819687624429044e-05,0.6544666666666666
ind_momentum_rank_20,4.3625896681676653e-05,-2.953280996326997e-05,0.2910333333333333
low,3.3055266938776585e-05,-4.07957463015314e-06,0.4982
open,3.2018357434380255e-05,-5.322537271204246e-06,0.5003333333333333
high,1.9981350743162935e-05,-2.936032364017721e-08,0.504
flow_vpin_ma_5,1.75826026271073e-05,-8.70839174025656e-06,0.2800666666666667
factor,0.0,0.0,0.0
